"NomBan","Pais","Origen","NumEscuchasMes","Imagen","Estatus","Descrip","LinkWeb","LinkSpotify"
"Diamond Head",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Dimmu Borgir",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Dio",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Dissection",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Disturbed",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Dokken",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Dope",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Doro",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"DOWN",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Draconian",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"DragonForce",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Dream Theater",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Drowning Pool",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Edge of Sanity",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Edguy",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Electric Wizard",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Eluveitie",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Elvenking",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Emperor",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Ensiferum",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Enslaved",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Entombed",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Epica",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Equilibrium",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Europe",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Evanescence",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Exhorder",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Exodus",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Faith No More",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Falkenbach",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Fates Warning",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Fear Factory",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Finntroll",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Five Finger Death Punch",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Gamma Ray",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Ghost",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Gloryhammer",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Godflesh",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Godsmack",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Gojira",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Gorgoroth",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Grave Digger",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Guns N' Roses",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Halford",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"HammerFall",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Hatebreed",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Heaven Shall Burn",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Hellhammer",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Helloween",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"HELLYEAH",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Helmet",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"High on Fire",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"HIM",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Iced Earth",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Immortal",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"In Extremo",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"In Flames",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"In This Moment",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Insomnium",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Iron Maiden",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"ISIS",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Jinjer",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Judas Priest",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Kamelot",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Katatonia",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Killswitch Engage",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"King Diamond",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"KISS",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"KoRn",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Korpiklaani",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Kreator",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Kvelertak",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Lacuna Coil",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Lamb of God",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Leave's Eyes",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Led Zeppelin",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Life of Agony",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Limp Bizkit",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Linkin Park",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Machine Head",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Mägo de Oz",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Månegarm",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Manowar",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Marduk",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Marilyn Manson",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Mastodon",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Mayhem",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Megadeth",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
