"NomBan","NomGen","Estrellas"
"Danzig","Hard",NULL
"Danzig","Heavy",NULL
"Dark Funeral","Black.",NULL
"Dark Funeral","SW-Black",NULL
"Dark Tranquility","Death-Melodic",NULL
"Dark Tranquility","Extreme",NULL
"Darkthrone","Death.",NULL
"Darkthrone","Extreme",NULL
"Deafheaven","Black-Gaze",NULL
"Deafheaven","Black.",NULL
"Deafheaven","Post-Metal",NULL
"Death","Death.",NULL
"Death","Extreme",NULL
"Death","Thrash.",NULL
"Death Angel","Thrash.",NULL
"Deep Purple","Hard",NULL
"Deep Purple","Rock",NULL
"Def Leppard","Hard",NULL
"Def Leppard","NWOBHM",NULL
"Deftones","Alternative",NULL
"Deftones","Nu",NULL
"Deftones","Post-Hardcore",NULL
"Deicide","Death.",NULL
"Deicide","Extreme",NULL
"Delain","Gothic",NULL
"Delain","Symphonic",NULL
"Demons & Wizards","Power",NULL
"Demons & Wizards","Progressive",NULL
"Destruction","Black.",NULL
"Destruction","Extreme",NULL
"Destruction","Thrash.",NULL
"DevilDriver","Death-Melodic",NULL
"DevilDriver","Groove",NULL
"Diamond Head","Heavy",NULL
"Diamond Head","NWOBHM",NULL
"Dimmu Borgir","Black-Melodic",NULL
"Dimmu Borgir","Extreme",NULL
"Dimmu Borgir","Symphonic",NULL
"Dio","Heavy",NULL
"Dissection","Black-Melodic",NULL
"Dissection","Black.",NULL
"Dissection","Death-Melodic",NULL
"Dissection","Death.",NULL
"Dissection","Extreme",NULL
"Disturbed","Alternative",NULL
"Disturbed","Nu",NULL
"Dokken","Hard",NULL
"Dokken","Heavy",NULL
"Dope","Alternative",NULL
"Dope","Industrial",NULL
"Dope","Nu",NULL
"Doro","Hard",NULL
"Doro","Heavy",NULL
"DOWN","Sludge",NULL
"DOWN","Southern",NULL
"DOWN","Stoner",NULL
"Draconian","Death.",NULL
"Draconian","Doom",NULL
"Draconian","Gothic",NULL
"DragonForce","Power",NULL
"DragonForce","Speed",NULL
"Dream Theater","Progressive",NULL
"Drowning Pool","Alternative",NULL
"Drowning Pool","Nu",NULL
"Edge of Sanity","Death-Melodic",NULL
"Edge of Sanity","Death.",NULL
"Edge of Sanity","Extreme",NULL
"Edguy","Power",NULL
"Edguy","SW-Power",NULL
"Electric Wizard","Doom",NULL
"Electric Wizard","Stoner",NULL
"Eluveitie","Celtic",NULL
"Eluveitie","Death-Melodic",NULL
"Eluveitie","Folk",NULL
"Elvenking","Folk",NULL
"Elvenking","Power",NULL
"Emperor","Black.",NULL
"Emperor","Extreme",NULL
"Emperor","SW-Black",NULL
"Emperor","Symphonic",NULL
"Ensiferum","Death-Melodic",NULL
"Ensiferum","Folk",NULL
"Ensiferum","Power",NULL
"Ensiferum","Viking",NULL
"Enslaved","Black.",NULL
"Enslaved","Extreme",NULL
"Enslaved","Viking",NULL
"Entombed","Death.",NULL
"Entombed","Extreme",NULL
"Epica","Gothic",NULL
"Epica","Symphonic",NULL
"Equilibrium","Black.",NULL
"Equilibrium","Folk",NULL
"Equilibrium","Symphonic",NULL
"Equilibrium","Viking",NULL
"Europe","Hard",NULL
"Europe","Heavy",NULL
"Evanescence","Alternative",NULL
"Evanescence","Gothic",NULL
"Evanescence","Nu",NULL
"Exhorder","Groove",NULL
"Exhorder","Thrash.",NULL
"Exodus","Extreme",NULL
"Exodus","Thrash.",NULL
"Faith No More","Alternative",NULL
"Faith No More","Post-Punk",NULL
"Falkenbach","Viking",NULL
"Fates Warning","Heavy",NULL
"Fates Warning","Power",NULL
"Fates Warning","Progressive",NULL
"Fear Factory","Death.",NULL
"Fear Factory","Industrial",NULL
"Finntroll","Black.",NULL
"Finntroll","Folk",NULL
"Five Finger Death Punch","Groove",NULL
"Gamma Ray","Heavy",NULL
"Gamma Ray","Power",NULL
"Ghost","Doom",NULL
"Ghost","Hard",NULL
"Ghost","Heavy",NULL
"Gloryhammer","Power",NULL
"Gloryhammer","Symphonic",NULL
"Godflesh","Industrial",NULL
"Godsmack","Alternative",NULL
"Godsmack","Hard",NULL
"Godsmack","Heavy",NULL
"Godsmack","Nu",NULL
"Godsmack","Post-Grunge",NULL
"Gojira","Death-Tech",NULL
"Gojira","Extreme",NULL
"Gojira","Groove",NULL
"Gojira","Progressive",NULL
"Gojira","Thrash.",NULL
"Gorgoroth","Black.",NULL
"Gorgoroth","Extreme",NULL
"Grave Digger","Heavy",NULL
"Grave Digger","Speed",NULL
"Guns N' Roses","Glam",NULL
"Guns N' Roses","Hard",NULL
"Guns N' Roses","Heavy",NULL
"Guns N' Roses","SW-Glam",NULL
"Halford","Heavy",NULL
"HammerFall","Heavy",NULL
"HammerFall","Power",NULL
"HammerFall","SW-Power",NULL
"Hatebreed","Hardcore",NULL
"Hatebreed","Metalcore",NULL
"Hatebreed","Punk",NULL
"Heaven Shall Burn","Death-Core",NULL
"Heaven Shall Burn","Death-Melodic",NULL
"Heaven Shall Burn","Metalcore",NULL
"Hellhammer","Black.",NULL
"Hellhammer","Extreme",NULL
"Hellhammer","FW-Black",NULL
"Hellhammer","Thrash.",NULL
"Helloween","FW-Power",NULL
"Helloween","Power",NULL
"Helloween","Speed",NULL
"HELLYEAH","Alternative",NULL
