COD_LIBRO;TITULO;AUTOR;MATERIA;EDITORIAL;A_EDICION;SOPORTE_M;USUARIO;COD_DPTO;ESTADO
9780241341780_1;"Cocinología: La ciencia de la cocina";"Varios Autores";Cocina;DK;2018;SI;ALUMNO;2;BUENO
9788413679143_1;"Formación y Orientación Laboral";"José Carlos González Acedo, Rosario Pérez Aroca";"Orientación Laboral";PARANINFO;2022;NO;ALUMNO;8;BUENO
9788416926534_1;"Con A de animación nº 8 retorno del 2D";"Varios Autores";Animacion;"NAU LLIBRES";2018;SI;ALUMNO;3;BUENO
9788417636395_1;"El enemigo conoce el sistema";"Marta Peirano";Informática;DEBATE;2019;NO;ALUMNO;4;BUENO
9788418741869_1;"La gran fragmentación: porqué la era conectada nos ha desunido y como recuperar la fe en el progreso";"Ricardo de Querol";Informática;ARPA;2023;NO;ALUMNO;4;BUENO
9788428328616_1;"Manual del Electromecánico de mantenimiento";"Jose Roldan Viloria";Electricidad;PARANINFO;2003;NO;ALUMNO;1;BUENO
9788441546370_1;"Transformación digital mediante Cloud: principios para el desarrollo de soluciones multicloud";"Joan Ribas Lequerica";Informática;"ANAYA MULTIMEDIA";2022;NO;PROFESOR;4;BUENO
9788475848815_1;"La Gobernanta";"Lluis Mesalles Canals";"Hosteleria y Turismo";LAERTES;2016;NO;CONSULTA;5;MALO
