"NomBan","NomGen","Estrellas"
"Death","Death.","0"
"Death","Extreme","0"
"Death","Thrash.","0"
"Death Angel","Thrash.","0"
"Deep Purple","Hard","0"
"Deep Purple","Rock","0"
"Def Leppard","Hard","0"
"Def Leppard","NWOBHM","0"
"Deftones","Alternative","0"
"Deftones","Nu","0"
"Deftones","Post-Hardcore","0"
"Deicide","Death.","0"
"Deicide","Extreme","0"
"Delain","Gothic","0"
"Delain","Symphonic","0"
"Demons & Wizards","Power","0"
"Demons & Wizards","Progressive","0"
"Destruction","Black.","0"
"Destruction","Extreme","0"
"Destruction","Thrash.","0"
"DevilDriver","Death-Melodic","0"
"DevilDriver","Groove","0"
"Diamond Head","Heavy","0"
"Diamond Head","NWOBHM","0"
"Dimmu Borgir","Black-Melodic","0"
"Dimmu Borgir","Extreme","0"
"Dimmu Borgir","Symphonic","0"
"Dio","Heavy","0"
"Dissection","Black-Melodic","0"
"Dissection","Black.","0"
"Dissection","Death-Melodic","0"
"Dissection","Death.","0"
"Dissection","Extreme","0"
"Disturbed","Alternative","0"
"Disturbed","Nu","0"
"Dokken","Hard","0"
"Dokken","Heavy","0"
"Dope","Alternative","0"
"Dope","Industrial","0"
"Dope","Nu","0"
"Doro","Hard","0"
"Doro","Heavy","0"
"DOWN","Sludge","0"
"DOWN","Southern","0"
"DOWN","Stoner","0"
"Draconian","Death.","0"
"Draconian","Doom","0"
"Draconian","Gothic","0"
"DragonForce","Power","0"
"DragonForce","Speed","0"
"Dream Theater","Progressive","0"
"Drowning Pool","Alternative","0"
"Drowning Pool","Nu","0"
"Edge of Sanity","Death-Melodic","0"
"Edge of Sanity","Death.","0"
"Edge of Sanity","Extreme","0"
"Edguy","Power","0"
"Edguy","SW-Power","0"
"Electric Wizard","Doom","0"
"Electric Wizard","Stoner","0"
"Eluveitie","Celtic","0"
"Eluveitie","Death-Melodic","0"
"Eluveitie","Folk","0"
"Elvenking","Folk","0"
"Elvenking","Power","0"
"Emperor","Black.","0"
"Emperor","Extreme","0"
"Emperor","SW-Black","0"
"Emperor","Symphonic","0"
"Ensiferum","Death-Melodic","0"
"Ensiferum","Folk","0"
"Ensiferum","Power","0"
"Ensiferum","Viking","0"
"Enslaved","Black.","0"
"Enslaved","Extreme","0"
"Enslaved","Viking","0"
"Entombed","Death.","0"
"Entombed","Extreme","0"
"Epica","Gothic","0"
"Epica","Symphonic","0"
"Equilibrium","Black.","0"
"Equilibrium","Folk","0"
"Equilibrium","Symphonic","0"
"Equilibrium","Viking","0"
"Europe","Hard","0"
"Europe","Heavy","0"
"Evanescence","Alternative","0"
"Evanescence","Gothic","0"
"Evanescence","Nu","0"
"Exhorder","Groove","0"
"Exhorder","Thrash.","0"
"Exodus","Extreme","0"
"Exodus","Thrash.","0"
"Faith No More","Alternative","0"
"Faith No More","Post-Punk","0"
"Falkenbach","Viking","0"
"Fates Warning","Heavy","0"
"Fates Warning","Power","0"
"Fates Warning","Progressive","0"
"Fear Factory","Death.","0"
"Fear Factory","Industrial","0"
"Finntroll","Black.","0"
"Finntroll","Folk","0"
"Five Finger Death Punch","Groove","0"
"Gamma Ray","Heavy","0"
"Gamma Ray","Power","0"
"Ghost","Doom","0"
"Ghost","Hard","0"
"Ghost","Heavy","0"
"Gloryhammer","Power","0"
"Gloryhammer","Symphonic","0"
"Godflesh","Industrial","0"
"Godsmack","Alternative","0"
"Godsmack","Hard","0"
"Godsmack","Heavy","0"
"Godsmack","Nu","0"
"Godsmack","Post-Grunge","0"
"Gojira","Death-Tech","0"
"Gojira","Extreme","0"
"Gojira","Groove","0"
"Gojira","Progressive","0"
"Gojira","Thrash.","0"
"Gorgoroth","Black.","0"
"Gorgoroth","Extreme","0"
"Grave Digger","Heavy","0"
"Grave Digger","Speed","0"
"Guns N' Roses","Glam","0"
"Guns N' Roses","Hard","0"
"Guns N' Roses","Heavy","0"
"Guns N' Roses","SW-Glam","0"
"Halford","Heavy","0"
"HammerFall","Heavy","0"
"HammerFall","Power","0"
"HammerFall","SW-Power","0"
"Hatebreed","Hardcore","0"
"Hatebreed","Metalcore","0"
"Hatebreed","Punk","0"
"Heaven Shall Burn","Death-Core","0"
"Heaven Shall Burn","Death-Melodic","0"
"Heaven Shall Burn","Metalcore","0"
"Hellhammer","Black.","0"
"Hellhammer","Extreme","0"
"Hellhammer","FW-Black","0"
"Hellhammer","Thrash.","0"
"Helloween","FW-Power","0"
"Helloween","Power","0"
