"NomBan","NomAlb","NomCan","Estrellas"
"Agalloch","Marrow of the Spirit","Into the Painted Grey","2"
"Agalloch","Pale Folklore","Dead Winter Days","0"
"Agalloch","Pale Folklore","Hallways of Enchanted Ebony","0"
"Agalloch","Pale Folklore","The Melancholy Spirit","3"
"Agalloch","The Mantle","...And the Great Cold Death of the Earth","1"
"Agalloch","The Mantle","In the Shadow of Our Pale Companion","3"
"Agalloch","The Mantle","The Hawthorne Passage","1"
"Agalloch","The Mantle","You Were but a Ghost in My Arms","1"
"Airbourne","Black Dog Barking","Back in the Game","1"
"Airbourne","Black Dog Barking","Live It Up","2"
"Airbourne","Black Dog Barking","Ready to Rock","1"
"Airbourne","Boneshaker","Boneshaker","0"
"Airbourne","Breakin' Outta Hell","Breakin' Outta Hell","0"
"Airbourne","Breakin' Outta Hell","It's All for Rock N' Roll","0"
"Airbourne","No Guts No Glory","Blonde, Bad and Beautiful","1"
"Airbourne","No Guts No Glory","No Way but the Hard Way","0"
"Airbourne","Runnin' Wild","Blackjack","0"
"Airbourne","Runnin' Wild","Diamond in the Rough","1"
"Airbourne","Runnin' Wild","Girls in Black","0"
"Airbourne","Runnin' Wild","Runnin' Wild","3"
"Airbourne","Runnin' Wild","Stand Up for Rock 'n' Roll","2"
"Airbourne","Runnin' Wild","Too Much, Too Young, Too Fast","3"
"Alcest","Écailles de lune","Écailles de lune - Part 1","1"
"Alcest","Écailles de lune","Percées de lumière","2"
"Alcest","Écailles de lune","Sur l'océan couleur de fer","2"
"Alcest","Kodama","Eclosion","0"
"Alcest","Kodama","Kodama","2"
"Alcest","Kodama","Oiseaux de proie","1"
"Alcest","Les Voyages de l'âme","Autre temps","3"
"Alcest","Les Voyages de l'âme","Là où naissent les couleurs nouvelles","2"
"Alcest","Les Voyages de l'âme","Les Voyages de L'âme","1"
"Alcest","Shelter","Délivrance","1"
"Alcest","Souvenirs d'un autre monde","Ciel Errant","0"
"Alcest","Souvenirs d'un autre monde","Souvenirs d'un autre monde","2"
"Alcest","Spiritual Instinct","Les Jardins de Minuit","1"
"Alcest","Spiritual Instinct","Protection","1"
"Alcest","Spiritual Instinct","Sapphire","2"
"Alestorm","Back Through Time","Death Throes of the Terrorsquid","0"
"Alestorm","Back Through Time","Shipwrecked","2"
"Alestorm","Back Through Time","The Sunk'n Norwegian","1"
"Alestorm","Black Sails at Midnight","Keelhauled","3"
"Alestorm","Black Sails at Midnight","Leviathan","0"
"Alestorm","Black Sails at Midnight","Wolves of the Sea","1"
"Alestorm","Captain Morgan's Revenge","Captain Morgan's Revenge","3"
"Alestorm","Captain Morgan's Revenge","Nancy the Tavern Wench","0"
"Alestorm","Captain Morgan's Revenge","Over the Seas","0"
"Alestorm","No Grave but the Sea","Alestorm","0"
"Alestorm","No Grave but the Sea","Fucked with an Anchor","1"
"Alestorm","No Grave but the Sea","Mexico","2"
"Alestorm","Sunset on the Golden Age","1741 (The Battle of Cartagena)","0"
"Alestorm","Sunset on the Golden Age","Drink","3"
"Alestorm","Sunset on the Golden Age","Hangover","0"
"Alice Cooper","Billion Dollar Babies","Billion Dollar Babies","0"
"Alice Cooper","Billion Dollar Babies","No More Mr. Guy","2"
"Alice Cooper","Goes to Hell","I Never Cry","0"
"Alice Cooper","Hey Stoopid","Feed My Frankenstein","2"
"Alice Cooper","Hey Stoopid","Hey Stoopid","0"
"Alice Cooper","Killer","Under my Wheels","0"
"Alice Cooper","Lace & Whiskey","You and Me","0"
"Alice Cooper","Love It to Death","Ballad of Dwight Fry","0"
"Alice Cooper","Love It to Death","I'm Eighteen","3"
"Alice Cooper","School's Out","School's Out","3"
"Alice Cooper","Trash","Bed of Nails","1"
"Alice Cooper","Trash","House of Fire","0"
"Alice Cooper","Trash","Poison","3"
"Alice Cooper","Welcome to My Nightmare","Only Women Bleed","1"
"Alice in Chains","Alice in Chains","Heaven Beside You","2"
"Alice in Chains","Dirt","Angry Chair","1"
"Alice in Chains","Dirt","Down in a Hole","2"
"Alice in Chains","Dirt","Rooster","3"
"Alice in Chains","Dirt","Them Bones","2"
"Alice in Chains","Dirt","Would?","3"
"Alice in Chains","Facelift","Man in the Box","3"
"Alice in Chains","Jar of Flies","I Stay Away","2"
"Alice in Chains","Jar of Flies","No Excuses","2"
"Alice in Chains","Jar of Flies","Nutshell","2"
"All That Remains","A War You Cannot Win","What If I Was Nothing?","2"
"All That Remains","For We Are Many","Hold On","1"
"All That Remains","For We Are Many","The Last Time","2"
"All That Remains","For We Are Many","The Waiting One","0"
"All That Remains","Madness","The Thunder Rolls","1"
"All That Remains","Overcome","Chiron","1"
"All That Remains","Overcome","Forever in Your Hands","0"
"All That Remains","Overcome","Two Weeks","3"
"All That Remains","The Fall of Ideals","Not Alone","2"
"All That Remains","The Fall of Ideals","Six","3"
"All That Remains","The Fall of Ideals","The Air That I Breathe","2"
"All That Remains","The Fall of Ideals","This Calling","3"
"All That Remains","The Order of Things","This Probably Won't End Well","0"
"Alter Bridge","AB III","Ghost of Days Gone by","0"
"Alter Bridge","AB III","Isolation","0"
"Alter Bridge","Blackbird","Blackbird","2"
"Alter Bridge","Blackbird","Come to Life","0"
"Alter Bridge","Blackbird","Rise Today","1"
"Alter Bridge","Blackbird","Ties That Bind","2"
"Alter Bridge","Blackbird","Watch Over You","2"
"Alter Bridge","Fortress","Addicted to Pain","1"
"Alter Bridge","Fortress","Cry of Achilles","0"
"Alter Bridge","One Day Remains","Broken Wings","2"
"Alter Bridge","One Day Remains","In Loving Memory","2"
"Alter Bridge","One Day Remains","Metalingus","3"
"Alter Bridge","One Day Remains","Open Your Eyes","2"
"Amaranthe","Amaranthe","1.000.000 Lightyears","0"
"Amaranthe","Amaranthe","Amaranthine","3"
"Amaranthe","Amaranthe","Automatic","0"
"Amaranthe","Amaranthe","Call Out My Name","0"
"Amaranthe","Helix","365","0"
"Amaranthe","Helix","Helix","0"
"Amaranthe","Leave Everything Behind","Hunger","3"
"Amaranthe","Leave Everything Behind","Leave Everything Behind","0"
"Amaranthe","Massive Addictive","Digital World","2"
"Amaranthe","Massive Addictive","Drop Dead Cynical","2"
"Amaranthe","Maximalism","Boomerang","1"
"Amaranthe","Maximalism","Maximize","0"
"Amaranthe","The Nexus","Afterlife","0"
"Amaranthe","The Nexus","Burn with Me","2"
"Amaranthe","The Nexus","Electroheart","0"
"Amaranthe","The Nexus","The Nexus","3"
"Amon Amarth","Berserker","Crack the Sky","0"
"Amon Amarth","Berserker","Raven's Flight","2"
"Amon Amarth","Deceiver of the Gods","As Loke Falls","0"
"Amon Amarth","Deceiver of the Gods","Deceiver of the Gods","2"
"Amon Amarth","Deceiver of the Gods","Warriors of the North","0"
"Amon Amarth","Fate of Norns","The Pursuit of Vikings","2"
"Amon Amarth","Jomsviking","Raise Your Horns","1"
"Amon Amarth","Once Sent from the Golden Hall","Victorious March","2"
"Amon Amarth","Surtur Rising","War of the Gods","2"
"Amon Amarth","Twilight of the Thunder God","Guardians of Asgaard","3"
"Amon Amarth","Twilight of the Thunder God","Tattered Banners and Bloody Flags","0"
"Amon Amarth","Twilight of the Thunder God","Twilight of the Thunder God","3"
"Amon Amarth","Versus the World","Death in Fire","2"
"Amon Amarth","With Oden on Our Side","Cry of the Black Birds","2"
"Amon Amarth","With Oden on Our Side","Runes to My Memory","1"
"Amorphis","Am Universum","Alone","0"
"Amorphis","Eclipse","House of Sleep","3"
"Amorphis","Eclipse","The Smoke","1"
"Amorphis","Elegy","My Kantele","1"
"Amorphis","Queen of Time","Amongst Stars","2"
"Amorphis","Queen of Time","The Bee","1"
"Amorphis","Queen of Time","Wrong Direction","0"
"Amorphis","Silent Waters","Silent Waters","2"
"Amorphis","Skyforger","From the Heaven","1"
"Amorphis","Skyforger","Silver Bridge","2"
"Amorphis","Skyforger","Sky is Mine","1"
"Amorphis","Tales from the Thousand Lakes","Black Winter Day","3"
"Amorphis","Tales from The Thousand Lakes","Into Hiding","0"
"Amorphis","Under the Red Cloud","Death of a King","2"
"Anathema","A Natural Disaster","A Natural Disaster","1"
"Anathema","A Natural Disaster","Closer","0"
"Anathema","A Natural Disaster","Flying","2"
"Anathema","Alternative 4","Empty","0"
"Anathema","Alternative 4","Fragile Dreams","3"
"Anathema","Alternative 4","Lost Control","0"
"Anathema","Eternity","Angelica","2"
"Anathema","Judgement","Deep","1"
"Anathema","Judgement","One Last Goodbye","3"
"Anathema","The Silent Enigma","A Dying Wish","2"
"Anathema","We're Here Because We're Here","A Simple Mistake","1"
"Anathema","We're Here Because We're Here","Dreaming Light","0"
"Anathema","We're Here Because We're Here","Thin Air","1"
"Anathema","Weather Systems","Untouchable, Pt. 1","2"
"Anathema","Weather Systems","Untouchable, Pt. 2","2"
"Angel Witch","Angel Witch","Angel of Death","2"
"Angel Witch","Angel Witch","Angel Witch","3"
"Angel Witch","Angel Witch","Atlantis","2"
"Angel Witch","Angel Witch","Confused","2"
"Angel Witch","Angel Witch","Devil's Tower","0"
"Angel Witch","Angel Witch","Dr. Phibes","0"
"Angel Witch","Angel Witch","Free Man","1"
"Angel Witch","Angel Witch","Gorgon","2"
"Angel Witch","Angel Witch","Sorcerers","2"
"Angel Witch","Angel Witch","Sweet Danger","1"
"Angel Witch","Angel Witch","White Witch","3"
"Angel Witch","Give It Some Tickle","Baphonet","1"
"Angra","Angels Cry","Angels Cry","1"
"Angra","Angels Cry","Carry On","3"
"Angra","Angels Cry","Wuthering Heights","1"
"Angra","Holy Land","Make Believe","0"
"Angra","Holy Land","Nothing to Say","2"
"Angra","Rebirth","Acid Rain","0"
"Angra","Rebirth","Heroes of Sand","2"
"Angra","Rebirth","Nova Era","3"
"Angra","Rebirth","Rebirth","2"
"Angra","Temple of Shadows","Angels and Demons","0"
"Angra","Temple of Shadows","Spread Your Fire","2"
"Angra","Temple of Shadows","The Shadow Hunter","0"
"Angra","Temple of Shadows","The Temple of Hate","1"
"Animals as Leaders","Animals as Leaders","CAFO","3"
"Animals as Leaders","Animals as Leaders","On Impulse","1"
"Animals as Leaders","Animals as Leaders","Song of Solomon","0"
"Animals as Leaders","Animals as Leaders","Tempting Time","2"
"Animals as Leaders","Animals as Leaders","Wave of Babies","2"
"Animals as Leaders","The Joy of Motion","Ka$cade","2"
"Animals as Leaders","The Joy of Motion","Physical Education","3"
"Animals as Leaders","The Joy of Motion","The Woven Web","2"
"Animals as Leaders","The Joy of Motion","Tooth and Claw","2"
"Animals as Leaders","The Madness of Many","Arithmophobia","2"
"Animals as Leaders","The Madness of Many","Ectogenesis","1"
"Animals as Leaders","The Madness of Many","The Brain Dance","0"
"Animals as Leaders","Weightless","An Infinite Regression","2"
"Annihilator","Alice in Hell","Alison Hell","3"
"Annihilator","Alice in Hell","Crystal Ann","2"
"Annihilator","Alice in Hell","Human Insecticide","1"
"Annihilator","Alice in Hell","W.T.Y.D.","2"
"Annihilator","Feast","No Way Out","0"
"Annihilator","King of the Kill","King of the Kill","2"
"Annihilator","Never, Neverland","Never, Neverland","1"
"Annihilator","Never, Neverland","Phantasmagoria","1"
"Annihilator","Never, Neverland","Stonewall","1"
"Annihilator","Never, Neverland","The Fun Palace","2"
"Annihilator","Set the World on Fire","Phoenix Rising","1"
"Annihilator","Set the World on Fire","Set the World on Fire","2"
"Annihilator","Set the World on Fire","Sounds Good to Me","0"
"Anthrax","Among the Living","Among the Living","1"
"Anthrax","Among the Living","Caught in a Mosh","3"
"Anthrax","Among the Living","I'm the Law","1"
"Anthrax","Among the Living","Indians","2"
"Anthrax","Attack of the Killer B's","Bring the Noise","2"
"Anthrax","Fistful of Metal","Metal Thrashing Mad","2"
"Anthrax","For All Kings","Breathing Lightning","2"
"Anthrax","I'm the Man","I'm the Man","0"
"Anthrax","Persistence of Time","Got the Time","2"
"Anthrax","Sound of White Noise","Only","2"
"Anthrax","Spreading the Disease","Madhouse","3"
"Anthrax","State of Euphoria","Antisocial","2"
"Anthrax","Worship Music","Fight 'Em 'Til You Can't","1"
"Anthrax","Worship Music","In the End","2"
"Anthrax","Worship Music","The Devil You Know","1"
"Anvil","Hard 'n' Heavy","School Love","2"
"Anvil","Metal on Metal","666","2"
"Anvil","Metal on Metal","Jackhammer","1"
"Anvil","Metal on Metal","March of the Crabs","3"
"Anvil","Metal on Metal","Metal on Metal","3"
"Anvil","Metal on Metal","Mothra","2"
"Anvil","Metal on Metal","Stop Me","1"
"Anvil","Metal on Metal","Tag Team","1"
"Anvil","Metal on Metal","Tease Me, Please Me","0"
"Apocalyptica","7th Symphony","Broken Pieces","1"
"Apocalyptica","7th Symphony","Not Strong Enough","3"
"Apocalyptica","Apocalyptica","Bittersweet","2"
"Apocalyptica","Apocalyptica","Farewell","0"
"Apocalyptica","Cult","Hall of the Mountain King","1"
"Apocalyptica","Cult","Path","2"
"Apocalyptica","Inquisition Symphony","Inquisition Symphony","0"
"Apocalyptica","Inquisition Symphony","Nothing Else Matters","2"
"Apocalyptica","Inquisition Symphony","One","2"
"Apocalyptica","Plays Metallica by Four Cellos","Enter Sandman","0"
"Apocalyptica","Plays Metallica by Four Cellos","Master of Puppets","1"
"Apocalyptica","Plays Metallica by Four Cellos","The Unforgiven","2"
"Apocalyptica","Worlds Collide","I Don't Care","3"
"Apocalyptica","Worlds Collide","I'm Not Jesus","2"
"Arch Enemy","Anthems of Rebellion","Dead Eyes See No Future","0"
"Arch Enemy","Anthems of Rebellion","We Will Rise","2"
"Arch Enemy","Black Earth","Bury Me an Angel","2"
"Arch Enemy","Burning Bridges","Silverwing","2"
"Arch Enemy","Doomsday Machine","My Apocalypse","2"
"Arch Enemy","Doomsday Machine","Nemesis","3"
"Arch Enemy","Doomsday Machine","Taking Back My Soul","0"
"Arch Enemy","Khaos Legions","Under Black Flags We March","0"
"Arch Enemy","Rise of the Tyrant","Revolution Begins","2"
"Arch Enemy","Wages of Sin","Ravenous","2"
"Arch Enemy","War Eternal","No More Regrets","0"
"Arch Enemy","War Eternal","War Eternal","2"
"Arch Enemy","War Eternal","You Will Know My Name","2"
"Arch Enemy","Will to Power","Reason to Believe","0"
"Arch Enemy","Will to Power","The Eagle Flies Alone","2"
"Arch Enemy","Will to Power","The World is Yours","2"
"Architects","All Our Gods Have Abandoned Us","A Match Made in Heaven","2"
"Architects","All Our Gods Have Abandoned Us","Gone with the Wind","1"
"Architects","Daybreaker","These Colours Don't Run","1"
"Architects","Hollow Crown","Early Grave","1"
"Architects","Hollow Crown","Follow the Water","0"
"Architects","Holy Hell","Death is not Defeat","0"
"Architects","Holy Hell","Doomsday","3"
"Architects","Holy Hell","Hereafter","3"
"Architects","Holy Hell","Holy Hell","1"
"Architects","Holy Hell","Modern Misery","1"
"Architects","Holy Hell","Royal Beggars","2"
"Architects","Lost Forever // Lost Together","Broken Cross","0"
"Architects","Lost Forever // Lost Together","Gravedigger","2"
"Architects","Lost Forever // Lost Together","Naysayer","0"
"Architects","The Here and Now","Day in Day Out","0"
"Arkona","Goi, Rode, Goi!","Goi, Rode, Goi!","3"
"Arkona","Goi, Rode, Goi!","Yarilo","3"
"Arkona","Khram","Shtorm","0"
"Arkona","Ot Serdtsa k Nebu","Ot Serdtsa k Nebu","1"
"Arkona","Ot Serdtsa k Nebu","Slav'sja, Rus'!","2"
"Arkona","Slovo","Odna","1"
"Arkona","Slovo","Zakliatie","1"
"Arkona","Slovo","Zimushka","0"
"Arkona","Stenka na Stenku","Stenka na Stenku","2"
"Arkona","Vo Slavu Velikim!","Po Syroi Zemle","2"
"Arkona","Vo Slavu Velikim!","Skvoz' Tuman Vekov","2"
"Arkona","Vozrozhdeniye","Maslenitsa","1"
"Arkona","Yav","Na strazhe novyh let","0"
"As I Lay Dying","An Ocean Between Us","An Ocean Between Us","1"
"As I Lay Dying","An Ocean Between Us","Forsaken","1"
"As I Lay Dying","An Ocean Between Us","Nothing Left","3"
"As I Lay Dying","An Ocean Between Us","The Sound of Truth","3"
"As I Lay Dying","An Ocean Between Us","Within Destruction","1"
"As I Lay Dying","Frail Words Collapse","94 Hours","2"
"As I Lay Dying","Shadows Are Security","Confined","2"
"As I Lay Dying","Shadows Are Security","The Darkest Nights","2"
"As I Lay Dying","Shadows Are Security","Through Struggle","2"
"As I Lay Dying","Shaped by Fire","My Own Grave","2"
"As I Lay Dying","The Powerless Rise","Anodyne Sea","0"
"As I Lay Dying","The Powerless Rise","Condemned","1"
"As I Lay Dying","The Powerless Rise","Parallels","2"
"Asking Alexandria","Asking Alexandria","Alone in a Room","2"
"Asking Alexandria","Asking Alexandria","Into the Fire","0"
"Asking Alexandria","From Death to Destiny","Moving On","2"
"Asking Alexandria","From Death to Destiny","Run Free","0"
"Asking Alexandria","From Death to Destiny","The Death of Me","1"
"Asking Alexandria","Reckless & Relentless","A Lesson Never Learned","0"
"Asking Alexandria","Reckless & Relentless","Breathless","0"
"Asking Alexandria","Reckless & Relentless","Closure","2"
"Asking Alexandria","Reckless & Relentless","Someone, Somewhere","0"
"Asking Alexandria","Stand Up and Scream","A Candlelit Dinner with Inamorta","0"
"Asking Alexandria","Stand Up and Scream","A Prophecy","2"
"Asking Alexandria","Stand Up and Scream","Not the American Average","3"
"Asking Alexandria","Stand Up and Scream","The Final Episode (Let's Change the Channel)","3"
"Asking Alexandria","The Black","I Won't Give in","1"
"Asking Alexandria","The Black","The Black","1"
"At the Gates","At War with Reality","At War with Reality","0"
"At the Gates","At War with Reality","Death and the Labyrinth","1"
"At the Gates","At War with Reality","Heroes and Tombs","0"
"At the Gates","At War with Reality","The Book of Sand (The Abomination)","0"
"At the Gates","At War with Reality","The Night Eternal","0"
"At the Gates","Slaughter of the Soul","Blinded by Fear","3"
"At the Gates","Slaughter of the Soul","Cold","3"
"At the Gates","Slaughter of the Soul","Into the Dead Sky","1"
"At the Gates","Slaughter of the Soul","Slaughter of the Soul","3"
"At the Gates","Slaughter of the Soul","Suicide Nation","2"
"At the Gates","Slaughter of the Soul","Under a Serpent Sun","2"
"At the Gates","Slaughter of the Soul","Unto Others","1"
"At the Gates","Slaughter of the Soul","World of Lies","0"
"At the Gates","Terminal Spirit Disease","Terminal Spirit Disease","2"
"Atreyu","A Death-Grip On Yesterday","Ex's and Oh's","2"
"Atreyu","In Our Wake","House of Gold","0"
"Atreyu","In Our Wake","The Time Is Now","1"
"Atreyu","Lead Sails Paper Anchor","Becoming the Bull","3"
"Atreyu","Lead Sails Paper Anchor","Blow","2"
"Atreyu","Lead Sails Paper Anchor","Doomsday","0"
"Atreyu","Lead Sails Paper Anchor","Falling Down","2"
"Atreyu","Lead Sails Paper Anchor","Two Become One","0"
"Atreyu","Lead Sails Paper Anchor","When Two Are One","1"
"Atreyu","Suicide Notes and Butterfly Kisses","Lip Gloss and Black","1"
"Atreyu","The Curse","Bleeding Mascara","3"
"Atreyu","The Curse","Right Side of the Bed","3"
"Atreyu","The Curse","The Crimson","2"
"August Burns Red","Constellations","Marianas Trench","3"
"August Burns Red","Constellations","Meddler","2"
"August Burns Red","Constellations","Meridian","1"
"August Burns Red","Constellations","White Washed","3"
"August Burns Red","Found in Far Away Places","Ghosts","2"
"August Burns Red","Leveler","Empire","1"
"August Burns Red","Lost Messengers: The Outtakes","Carol of the Bells","0"
"August Burns Red","Messengers","Back Burner","2"
"August Burns Red","Messengers","Composure","3"
"August Burns Red","Messengers","The Truth of a Liar","0"
"August Burns Red","Phantom Anthem","Invisible Enemy","0"
"August Burns Red","Phantom Anthem","The Frost","0"
"August Burns Red","Rescue & Restore","Fault Line","0"
"Avantasia","Ghostlights","Let the Storm Descend Upon You","2"
"Avantasia","Ghostlights","Mystery of a Blood Red Rose","2"
"Avantasia","Lost in Space Pt. I EP","Lost in Space","1"
"Avantasia","Lost in Space Pt. I EP","The Story Ain't Over","2"
"Avantasia","Moonglow","Ghost in the Moon","0"
"Avantasia","Moonglow","Moonglow","0"
"Avantasia","Moonglow","The Raven Child","2"
"Avantasia","The Metal Opera, Pt. I","Avantasia","2"
"Avantasia","The Metal Opera, Pt. I","Farewell","3"
"Avantasia","The Metal Opera, Pt. I","Reach Out for the Light","2"
"Avantasia","The Metal Opera, Pt. I","Sign of the Cross","1"
"Avantasia","The Metal Opera, Pt. I","The Tower","0"
"Avantasia","The Metal Opera, Pt. II","The Final Sacrifice","0"
"Avantasia","The Metal Opera, Pt. II","The Seven Angels","2"
"Avantasia","The Scarecrow","The Scarecrow","3"
"Avantasia","The Wicked Symphony","Dying for an Angel","2"
"Avantasia","The Wicked Symphony","The Wicked Symphony","1"
"Avatar","Avatar","Queen of Blades","1"
"Avatar","Avatar Country","A Statue of the King","2"
"Avatar","Avatar Country","The King Wants You","1"
"Avatar","Avatar Country","The King Welcomes You to Avatar Country","2"
"Avatar","Black Waltz","Black Waltz","1"
"Avatar","Black Waltz","Let It Burn","3"
"Avatar","Black Waltz","Paint Me Red","0"
"Avatar","Black Waltz","Smells Like a Freakshow","3"
"Avatar","Black Waltz","Torn Apart","2"
"Avatar","Feathers & Flesh","The Eagle Has Landed","3"
"Avatar","Hail the Apocalypse","Bloody Angel","3"
"Avatar","Hail the Apocalypse","Hail the Apocalypse","3"
"Avatar","Hail the Apocalypse","Vultures Fly","1"
"Avenged Sevenfold","Avenged Sevenfold","A Little Piece of Heaven","2"
"Avenged Sevenfold","Avenged Sevenfold","Afterlife","3"
"Avenged Sevenfold","Avenged Sevenfold","Almost Easy","1"
"Avenged Sevenfold","Avenged Sevenfold","Critical Acclaim","1"
"Avenged Sevenfold","Avenged Sevenfold","Dear God","2"
"Avenged Sevenfold","City of Evil","Bat Country","3"
"Avenged Sevenfold","City of Evil","Beast and the Harlot","1"
"Avenged Sevenfold","City of Evil","Seize the Day","0"
"Avenged Sevenfold","Hail to the King","Hail to the King","2"
"Avenged Sevenfold","Hail to the King","Shepherd of Fire","0"
"Avenged Sevenfold","Nightmare","Buried Alive","1"
"Avenged Sevenfold","Nightmare","Nightmare","2"
"Avenged Sevenfold","Nightmare","So Far Away","2"
"Avenged Sevenfold","Waking the Fallen","Unholy Confessions","2"
"Baroness","Blue Record","A Horse Called Golgotha","2"
"Baroness","Blue Record","Ogeechee Hymnal","0"
"Baroness","Blue Record","Swollen and Halo","0"
"Baroness","Blue Record","The Sweetest Curse","1"
"Baroness","Gold & Grey","Tourniquet","0"
"Baroness","Purple","Chlorine & Wine","1"
"Baroness","Purple","Morningstar","0"
"Baroness","Purple","Shock Me","2"
"Baroness","Red Album","Isak","2"
"Baroness","Red Album","Rays on Pinion","0"
"Baroness","Red Album","The Birthing","0"
"Baroness","Red Album","Wanderlust","0"
"Baroness","Yellow & Green","Cocainium","2"
"Baroness","Yellow & Green","Eula","2"
"Baroness","Yellow & Green","Little Things","1"
"Baroness","Yellow & Green","March to the Sea","3"
"Baroness","Yellow & Green","Take My Bones Away","3"
"Bathory","Bathory","Hades","2"
"Bathory","Bathory","Reaper","0"
"Bathory","Blood Fire Death","A Fine Day to Die","3"
"Bathory","Blood Fire Death","Blood Fire Death","0"
"Bathory","Blood Fire Death","The Golden Walls of Heaven","1"
"Bathory","Blood on Ice","The Lake","2"
"Bathory","Hammerheart","One Rode to Asa Bay","3"
"Bathory","Hammerheart","Shores in Flames","0"
"Bathory","Hammerheart","Valhalla","0"
"Bathory","Jubileum Volume III","In Nomine Satanas","2"
"Bathory","Northland I","Ring of Gold","2"
"Bathory","Northland II","Blooded Shore","2"
"Bathory","The Return……","Born for Burning","0"
"Bathory","Twilight of the Gods","Twilight of the Gods","2"
"Bathory","Under the Sign of the Black Mark","Call from the Grave","2"
"Bathory","Under the Sign of the Black Mark","Enter the Eternal Fire","0"
"Battle Beast","Battle Beast","Black Ninja","3"
"Battle Beast","Battle Beast","Into the Heart of Danger","0"
"Battle Beast","Battle Beast","Let It Roar","2"
"Battle Beast","Battle Beast","Out of Control","2"
"Battle Beast","Bringer of Pain","Bastard Son of Odin","0"
"Battle Beast","Bringer of Pain","Beyond the Burning Skies","1"
"Battle Beast","Bringer of Pain","Familiar Hell","2"
"Battle Beast","Bringer of Pain","King for a Day","3"
"Battle Beast","Bringer of Pain","Straight to the Heart","2"
"Battle Beast","No More Hollywood Endings","Eden","1"
"Battle Beast","No More Hollywood Endings","No More Hollywood Endings","2"
"Battle Beast","Steel","Enter the Metal World","0"
"Battle Beast","Unholy Savior","Touch in the Night","3"
"Battle Beast","Unholy Savior","Unholy Savior","0"
"Behemoth","Demigod","Conquer All","3"
"Behemoth","Demigod","Demigod","1"
"Behemoth","Demigod","Slaves Shall Serve","1"
"Behemoth","Evangelion","Lucifer","0"
"Behemoth","Evangelion","Ov Fire and the Void","2"
"Behemoth","Satanica","Chant for Eschaton 2000","2"
"Behemoth","The Apostasy","At the Left Hand ov God","3"
"Behemoth","The Satanist","Ben Sahar","0"
