TISTA";"PAIS"
"Lou Reed";"Estados Unidos"
"Love";"Estados Unidos"
"Lucinda Williams";"Estados Unidos"
"Luther Vandross";"Estados Unidos"
"Lynyrd Skynyrd";"Estados Unidos"
"Madonna";"Estados Unidos"
"Madvillain";"Estados Unidos"
"Mahavishnu Orchestra";"Estados Unidos"
"Manic Street Preachers";"Reino Unido"
"Marilyn Manson";"Estados Unidos"
"Marvin Gaye";"Estados Unidos"
"Mary J. Blige";"Estados Unidos"
"Massive Attack";"Reino Unido"
"Matchbox Twenty";"Estados Unidos"
"MC Hammer";"Estados Unidos"
"Meat Loaf";"Estados Unidos"
"Megadeth";"Estados Unidos"
"Metallica";"Estados Unidos"
"Michael Jackson";"Estados Unidos"
"Midnight Oil";"Australia"
"Miles Davis";"Estados Unidos"
"Missy Elliott";"Estados Unidos"
"Moby Grape";"Estados Unidos"
"My Bloody Valentine";"Reino Unido"
"My Chemical Romance";"Estados Unidos"
"N.W.A";"Estados Unidos"
"Nas";"Estados Unidos"
"Neil Young";"Canadá"
"Neil Young and Crazy Horse";"Canadá"
"Neutral Milk Hotel";"Estados Unidos"
"Nick Drake";"Reino Unido"
"Nine Inch Nails";"Estados Unidos"
"Nirvana";"Estados Unidos"
"No Doubt";"Estados Unidos"
"Norah Jones";"Estados Unidos"
"NSYNC";"Estados Unidos"
"Oasis";"Reino Unido"
"Otis Redding";"Estados Unidos"
"OutKast";"Estados Unidos"
"P.M. Dawn";"Estados Unidos"
"Patti Smith";"Estados Unidos"
"Paul McCartney and Linda McCartney";"Reino Unido"
"Paul McCartney and Wings";"Reino Unido"
"Paul Simon";"Estados Unidos"
"Pearl Jam";"Estados Unidos"
"Peter Frampton";"Reino Unido"
"Peter Gabriel";"Reino Unido"
"Pharoah Sanders";"Estados Unidos"
"Phil Collins";"Reino Unido"
"Pink Floyd";"Reino Unido"
"Pixies";"Estados Unidos"
"PJ Harvey";"Reino Unido"
"Portishead";"Reino Unido"
"Prefab Sprout";"Reino Unido"
"Primal Scream";"Reino Unido"
"Prince";"Estados Unidos"
"Public Enemy";"Estados Unidos"
"Pulp";"Reino Unido"
"Queen";"Reino Unido"
"Queens of the Stone Age";"Estados Unidos"
"Queensrÿche";"Estados Unidos"
"R.E.M.";"Estados Unidos"
"Radiohead";"Reino Unido"
"Ramones";"Estados Unidos"
"Randy Newman";"Estados Unidos"
"Ray Charles";"Estados Unidos"
"Red Hot Chilli Peppers";"Estados Unidos"
"REO Speedwagon";"Estados Unidos"
"Richard and Linda Thompson";"Reino Unido"
"Rod Stewart";"Reino Unido"
"Roxy Music";"Reino Unido"
"Rush";"Canadá"
"Santana";"Estados Unidos"
"Seal";"Reino Unido"
"Sex Pistols";"Reino Unido"
"Shania Twain";"Canadá"
"Sigur Rós";"Reino Unido"
"Simon and Garfunkel";"Estados Unidos"
"Skillet";"Estados Unidos"
"Slint";"Estados Unidos"
"Slowdive";"Reino Unido"
"Sly and the Family Stone";"Estados Unidos"
"Son Volt";"Estados Unidos"
"Sonic Youth";"Estados Unidos"
"Soundgarden";"Estados Unidos"
"Spice Girls";"Reino Unido"
"Split Enz";"Australia"
"Steely Dan";"Estados Unidos"
"Steppenwolf";"Canadá"
"Stereo MC’s";"Reino Unido"
"Steve Miller Band";"Estados Unidos"
"Steve Reich";"Estados Unidos"
"Stevie Wonder";"Estados Unidos"
"Suede";"Reino Unido"
"Sufjan Stevens";"Estados Unidos"
"Super Furry Animals";"Reino Unido"
"Supertramp";"Reino Unido"
"Swans";"Estados Unidos"
"System of a Down";"Estados Unidos"
"T. Rex";"Reino Unido"
"Taj Mahal";"Estados Unidos"
"Talk Talk";"Reino Unido"
"Talking Heads";"Estados Unidos"
"Tangerine Dream";"Alemania"
"Taylor Swift";"Estados Unidos"
"Television";"Estados Unidos"
"Terry Riley";"Estados Unidos"
"The Allman Brothers Band";"Estados Unidos"
"The B 52’s";"Estados Unidos"
"The Band";"Canadá"
"The Beach Boys";"Estados Unidos"
"The Beatles";"Reino Unido"
"The Black Keys";"Estados Unidos"
"The Byrds";"Estados Unidos"
"The Cars";"Estados Unidos"
"The Chicks";"Estados Unidos"
"The Clash";"Reino Unido"
"The Congos";"Jamáica"
"The Cure";"Reino Unido"
"The Doors";"Estados Unidos"
"The Go Betweens";"Australia"
"The Jam";"Reino Unido"
"The Jimi Hendrix Experience";"Estados Unidos"
"The Killers";"Estados Unidos"
"The Kinks";"Reino Unido"
"The Libertines";"Reino Unido"
"The Microphones";"Estados Unidos"
"The Mothers of Invention";"Estados Unidos"
"The National";"Estados Unidos"
"The Notorious B.I.G.";"Estados Unidos"
"The Offspring";"Estados Unidos"
"The Police";"Reino Unido"
"The Pretenders";"Reino Unido"
"The Replacements";"Estados Unidos"
"The Rolling Stones";"Reino Unido"
"The Smashing Pumpkins";"Estados Unidos"
"The Smiths";"Reino Unido"
"The Specials";"Reino Unido"
"The Stone Roses";"Reino Unido"
"The Stooges";"Estados Unidos"
"The Streets";"Reino Unido"
"The Strokes";"Estados Unidos"
"The Tony Williams Lifetime";"Estados Unidos"
"The Velvet Underground";"Estados Unidos"
"The Verve";"Reino Unido"
"The War on Drugs";"Estados Unidos"
