ID;ALIMENTO;C3;C4;C5;C6;C7;C8;C9;C10
05261;TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,RAW;156;70,2;21,63;7,04;0;;0;0,9
05262;TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,CKD,RSTD;191;63,13;28,48;7,7;0;;0;1
05263;TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,RAW;152;71,88;19,05;7,89;0;;0;0,86
05264;TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,CKD,RSTD;216;60,33;27,58;10,85;0;;0;0,97
05265;TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,RAW;114;73,96;23,43;1,57;0;;0;1
05266;TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,CKD,RSTD;154;66,56;29,88;2,92;0;;0;1,05
05267;TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,RAW;123;74,7;20,04;4,11;0;;0;0,93
05268;TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,CKD,RSTD;185;63,07;28,68;6,98;0;;0;1,01
05269;TURKEY,YOUNG TOM,BACK,MEAT&SKN,RAW;179;69,29;18,47;11,14;0;;0;0,8
05270;TURKEY,YOUNG TOM,BACK,MEAT&SKN,CKD,RSTD;238;58,33;26,8;13,65;0;;0;0,94
05271;TURKEY,YOUNG TOM,BREAST,MEAT&SKN,RAW;151;70,68;21,96;6,34;0;;0;0,91
05272;TURKEY,YOUNG TOM,BREAST,MEAT&SKN,CKD,RSTD;189;63,3;28,61;7,39;0;;0;1
05273;TURKEY,YOUNG TOM,LEG,MEAT&SKN,RAW;141;72,98;19,54;6,34;0;;0;0,89
05274;TURKEY,YOUNG TOM,LEG,MEAT&SKN,CKD,RSTD;206;61,18;27,93;9,63;0;;0;0,98
05275;TURKEY,YOUNG TOM,WING,MEAT&SKN,RAW;188;67,32;20,45;11,22;0;;0;0,82
05276;TURKEY,YOUNG TOM,WING,MEAT&SKN,CKD,RSTD;221;60,31;27,45;11,5;0;;0;0,96
05277;CHICKEN,CND,MEAT ONLY,W/BROTH;165;68,65;21,77;7,95;0;0;0;1,81
05282;PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED;462;37,04;11,4;43,84;4,67;;0;3,05
05284;TURKEY,CND,MEAT ONLY,W/BROTH;163;66,07;23,68;6,86;0;0;0;1,92
05285;TURKEY,DICED,LT&DK MEAT,SEASONED;138;71,7;18,7;6;1;;0;2,6
05286;TURKEY AND GRAVY,FROZEN;67;85,07;5,88;2,63;4,61;;0;1,81
05292;TURKEY PATTIES,BREADED,BATTERED,FRIED;283;49,7;14;18;15,7;0;0,5;2,6
05293;TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD;126;70,91;22,16;3,46;0;;0;2,06
05294;TURKEY THIGH,PRE-BASTED,MEAT&SKN,CKD,RSTD;157;70,6;18,8;8,54;0;;0;2,06
05295;TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW;120;70,4;17,6;2,2;6,4;;0;3,4
05296;TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RSTD;155;67,84;21,32;5,78;3,07;0;0;1,99
05300;TURKEY STKS,BREADED,BATTERED,FRIED;279;49,4;14,2;16,9;17;;;2,5
05301;POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW;272;62,66;11,39;24,73;0;;0;0,96
05302;POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW;199;69,29;13,79;15,48;0;;0;1
05303;POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW;243;62,95;14,72;19,98;0;;0;1,15
05304;TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW;201;69,09;13,29;15,96;0;;0;1,1
05305;POULTRY FD PRODUCTS,GROUND TURKEY,RAW;149;71,97;17,46;8,26;0;0;0;0,87
05306;POULTRY FD PRODUCTS,GROUND TURKEY,CKD;235;59,42;27,36;13,15;0;0;0;1,19
05307;CHICKEN,CORNISH GAME HENS,MEAT&SKN,RAW;200;68,18;17,15;14,02;0;0;0;0,8
05308;CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD;260;58,68;22,27;18,21;0;0;0;1,04
05309;CHICKEN,CORNISH GAME HENS,MEAT ONLY,RAW;116;75,84;20,04;3,33;0;0;0;0,9
05310;CHICKEN,CORNISH GAME HENS,MEAT ONLY,CKD,RSTD;134;71,9;23,3;3,87;0;0;0;1,04
05311;CHICKEN,CANNED,NO BROTH;184;64,9;25,3;8,1;0,8;0;0;0,8
05312;CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV;211;61,79;19,67;12,67;3,34;2,039999962;0,6;2,53
05313;CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE);248;53,89;25,34;13,9;3,84;2,099999905;0,9;3,04
05315;DUCK,YNG DUCKLING,DOM,WH PEKIN,BRST,MEAT&SKN,BNLESS,CKD,RSTD;202;63,25;24,5;10,85;0;;;1,15
05316;DUCK,YNG DUCKL,DOM,WH PEKIN,BRST,MEAT,BNLESS,CKD WO/SKN,BRLD;140;68,25;27,6;2,5;0;;;1,4
05317;DUCK,YNG DUCKLING,DOM,WH PEKIN,LEG,MEAT&SKN,BONE IN,CKD,RSTD;217;60,9;26,75;11,4;0;;;1
05318;DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD;178;64,6;29,1;5,96;0;;;1,1
05320;CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN);242;57,25;22,24;14,87;3,36;1,940000057;0,5;2,28
05335;CHICK,FEET,BOILED;215;65,8;19,4;14,6;0,2;0;0;0
05600;USDA COMMODITY,TURKEY HAM,DK MEAT,SMOKED,FRZ;118;73,5;16,3;4;3,1;1,200000048;0;3,2
05621;EMU,GROUND,RAW;134;72,87;22,77;4,03;0;0;0;1
05622;EMU,GROUND,CKD,PAN-BROILED;163;65,83;28,43;4,65;0;0;0;1,17
05623;EMU,FAN FILLET,RAW;103;74,62;22,5;0,8;0;0;0;1,1
05624;EMU,FAN FILLET,CKD,BRLD;154;66,43;31,27;2,3;0;0;0;1,3
05625;EMU,FLAT FILLET,RAW;102;75,4;22,25;0,74;0;0;0;0,93
05626;EMU,FULL RUMP,RAW;112;73,79;22,83;1,64;0;0;0;1,14
05627;EMU,FULL RUMP,CKD,BRLD;168;61,97;33,67;2,68;0;0;0;1,35
05628;EMU,INSIDE DRUM,RAW;108;74,73;22,22;1,49;0;0;0;1,15
05629;EMU,INSIDE DRUMS,CKD,BRLD;156;64,31;32,38;2,01;0;0;0;1,3
05630;EMU,OUTSIDE DRUM,RAW;103;74,87;23,08;0,48;0;0;0;1
05631;EMU,OYSTER,RAW;141;72,57;22,81;4,86;0;0;0;0,95
05632;EMU,TOP LOIN,CKD,BRLD;152;67,37;29,07;3,13;0;0;0;1,27
05641;OSTRICH,GROUND,RAW;165;71,07;20,22;8,7;0;0;0;0,73
05642;OSTRICH,GROUND,CKD,PAN-BROILED;175;67,12;26,15;7,07;0;0;0;0,83
05643;OSTRICH,FAN,RAW;117;75,93;21,81;2,65;0;0;0;0,61
05644;OSTRICH,INSIDE LEG,RAW;111;75,97;22,39;1,72;0;0;0;0,61
05645;OSTRICH,INSIDE LEG,CKD;141;69,95;29,01;1,94;0;0;0;0,76
05646;OSTRICH,INSIDE STRIP,RAW;127;74,16;23,69;2,87;0;0;0;1,22
05647;OSTRICH,INSIDE STRIP,CKD;164;66,53;29,37;4,26;0;0;0;0,85
05648;OSTRICH,OUTSIDE LEG,RAW;115;75,59;22,86;1,96;0;0;0;0,62
05649;OSTRICH,OUTSIDE STRIP,RAW;120;74,58;23,36;2,21;0;0;0;1,13
05650;OSTRICH,OUTSIDE STRIP,CKD;156;66,88;28,55;3,83;0;0;0;0,83
05651;OSTRICH,OYSTER,RAW;125;75,62;21,55;3,67;0;0;0;0,62
05652;OSTRICH,OYSTER,CKD;159;67,55;28,81;3,97;0;0;0;0,82
05653;OSTRICH,RND,RAW;116;75,68;21,99;2,4;0;0;0;0,62
05654;OSTRICH,TENDERLOIN,RAW;123;74,5;22,07;3,19;0;0;0;0,73
05655;OSTRICH,TIP RAW;114;76,12;21,85;2,3;0;0;0;0,61
05656;OSTRICH,TIP CKD;145;68,51;28,49;2,57;0;0;0;0,83
05657;OSTRICH,TOP LOIN,RAW;119;75,35;21,67;2,95;0;0;0;0,73
05658;OSTRICH,TOP LOIN,CKD;155;67,95;28,12;3,87;0;0;0;0,83
05661;CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED;172;65,22;25,78;6,43;1,11;0;0;1,47
06001;SOUP,CRM OF ASPARAGUS,CND,COND,COMM;69;84,05;1,82;3,26;8,52;0,720000029;0,4;2,35
06002;SOUP,BLACK BEAN,CND,COND,COMM;91;75,33;4,83;1,32;15,42;0,25;6,8;3,1
06004;SOUP,BEAN W/PORK,CND,COND,COMM;129;70,17;5,88;4,42;16,97;3;5,9;2,57
06006;SOUP,BEAN W/FRANKFURTERS,CND,COND,COMM;142;67,7;7,6;5,31;16,75;;4,6;2,64
06007;SOUP,BEAN W/HAM,CND,CHUNKY,RTS,COMM;95;78,63;5,19;3,5;11,16;;4,6;1,52
06008;SOUP,BF BROTH OR BOUILLON CND,RTS;7;97,55;1,14;0,22;0,04;0;0;1,05
06009;SOUP,BF NOODLE,CND,COND,COMM;67;84,42;3,85;2,46;7,16;2,059999943;0,6;2,12
06010;SOUP,CRM OF CELERY,CND,COND,COMM;72;84,96;1,32;4,46;7,03;1,350000024;0,6;2,23
06011;SOUP,CHS,CND,COND,COMM;121;77,15;4,22;8,15;8,19;0,600000024;0,8;2,29
06012;SOUP,CHICK W/DUMPLINGS,CND,COND,COMM;79;83,82;4,58;4,51;4,93;0,460000008;0,4;2,16
06013;SOUP,CHICK BROTH,CND,COND,COMM;31;91,96;4,42;1,04;0,75;0,349999994;0;1,83
06015;SOUP,CHICK,CND,CHUNKY,RTS,COMM;71;84,12;5,06;2,64;6,88;0,870000005;0,6;1,31
06016;SOUP,CRM OF CHICK,CND,COND,COMM;89;82,75;2,38;5,77;7,16;0,540000021;0;1,95
06017;SOUP,CHICK GUMBO,CND,COND,COMM;45;88,02;2,1;1,14;6,67;1,929999948;1,6;2,07
06018;SOUP,CHICK NOODLE,CND,CHUNKY,RTS;73;84;5,3;2,5;7,1;0,649999976;1,6;1,1
06019;SOUP,CHICK NOODLE,CND,COND,COMM;53;87,48;2,59;1,94;6,03;0,860000014;0;1,96
06021;SOUP,CHICK NOODLE,W/MEATBALLS,CND,CHUNKY,RTS;40;90,72;3,27;1,44;3,37;;;1,2
06022;SOUP,CHICK RICE,CND,CHUNKY,RTS;53;86,78;5,11;1,33;5,41;0,600000024;0,4;1,37
06023;SOUP,CHICK W/RICE,CND,COND,COMM;49;87,84;2,89;1,56;5,84;0,159999996;0,5;1,88
06024;SOUP,CHICK VEG,CND,CHUNKY,RTS;69;83,44;5,13;2,01;7,87;;;1,54
06025;SOUP,CHICK VEG,CND,COND,COMM;61;85,52;2,94;2,32;7,01;1,25999999;0,7;2,22
06026;SOUP,CHILI BF,CND,COND,COMM;129;70,86;5,09;5,03;16,33;1,090000033;7,3;2,69
06027;SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS;56;86,04;3,02;1,41;7,84;1,669999957;1,2;1,69
06028;SOUP,CLAM CHOWDER,MANHATTAN,CND,COND,COMM;61;84,3;1,74;1,76;9,74;2,700000048;1,2;2,46
06029;SOUP,CAMPBELL'S HEALTHY REQUEST CHICK W/RICE,CND,COND;49;88,4;2;1,6;6,8;0,389999986;0,6;1,3
06030;SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND,COMM;70;82,53;4,33;2;8,69;0,439999998;0,6;2,45
06031;SOUP,LIPTON,KETTLE CREATIONS PASTA&BEAN,MIX,DRY;358;4;16,34;3,86;65,3;5,159999847;12,5;10,5
06032;SOUP,BF BROTH BOUILLON&CONSOMME,CND,COND,COMM;24;92,6;4,37;0;1,44;0,109999999;0;1,59
06033;SOUP,LIPTON,RECIPE SECRETS ONION,MIX,DRY;263;4;6,58;1,9;61,55;4,610000134;5,9;25,97
06034;SOUP,CRAB,CND,RTS;31;91,5;2,25;0,62;4,22;;0,3;1,41
06035;SOUP,ESCAROLE,CND,RTS;11;96,89;0,62;0,73;0,72;;;1,04
06036;SOUP,GAZPACHO,CND,RTS;19;93,77;2,9;0,1;1,8;0,589999974;0,2;1,43
06037;SOUP,LENTIL W/HAM,CND,RTS;56;85,75;3,74;1,12;8,16;;;1,24
06039;SOUP,MINESTRONE,CND,CHUNKY,RTS;53;86,72;2,13;1,17;8,64;2,170000076;2,4;1,35
06040;SOUP,MINESTRONE,CND,COND,COMM;68;82,95;3,48;2,05;9,17;1,5;0,8;2,35
06042;SOUP,MUSHROOM BARLEY,CND,COND,COMM;61;84,9;1,5;1,8;9,6;;;2,2
06043;SOUP,CRM OF MUSHROOM,CND,COND,COMM;85;83,85;1,61;5,89;6,72;1,460000038;0;1,93
06044;SOUP,MUSHROOM W/BF STOCK,CND,COND,COMM;68;84,6;2,51;3,21;7,41;2,279999971;0,1;2,27
06045;SOUP,ONION,CND,COND,COMM;46;86,35;3,06;1,42;6,68;2,720000029;0,7;2,49
06046;SOUP,CRM OF ONION,CND,COND,COMM;88;81;2,2;4,2;10,4;3,640000105;0,4;2,2
06048;SOUP,OYSTER STEW,CND,COND,COMM;48;89,88;1,72;3,13;3,32;;0;1,95
06049;SOUP,PEA,GRN,CND,COND,COMM;125;68,54;6,54;2,23;20,18;6,519999981;3,9;2,51
06050;SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS;77;80,95;4,62;1,66;11,17;1,909999967;1,7;1,6
06051;SOUP,PEA,SPLIT W/HAM,CND,COND,COMM;141;65,67;7,68;3,28;20,81;;1,7;2,57
06052;SOUP,PEPPERPOT,CND,COND,COMM;84;80,62;5,19;3,78;7,66;;0,4;2,75
06053;SOUP,CRM OF POTATO,CND,COND;59;85,39;1,39;1,88;9,14;1,690000057;0,4;2,21
06055;SOUP,SCOTCH BROTH,CND,COND,COMM;66;83,78;4,05;2,14;7,73;;1;2,3
06056;SOUP,CRM OF SHRIMP,CND,COND;72;84,85;2,22;4,14;6,53;;0,2;2,26
06059;SOUP,CAMPBELL'S CHICK NOODLE,CND,COND;51;86,9;2,6;1,5;6,9;;0,6;2,1
06060;SOUP,STOCKPOT,CND,COND,COMM;78;81,89;3,79;3,04;8,95;;;2,34
06061;SOUP,TOMATO BF W/NOODLE,CND,COND,COMM;112;74,08;3,55;3,42;16,87;;1,2;2,08
06063;SOUP,TOMATO RICE,CND,COND,COMM;93;77,13;1,64;2,12;17,08;5,900000095;1,3;2,03
06064;SOUP,TURKEY,CHUNKY,RTS;57;86,37;4,33;1,87;5,96;;;1,47
06065;SOUP,TURKEY NOODLE,CND,COND,COMM;55;86,37;3,11;1,59;6,88;0,409999996;0,6;2,06
06066;SOUP,TURKEY VEG,CND,COND,COMM;60;86,01;2,52;2,47;7,05;1,090000033;0,5;1,95
06067;SOUP,VEG,CND,CHUNKY,RTS,COMM;51;87,58;1,46;1,54;7,92;1,639999986;0,5;1,5
06068;SOUP,VEGETARIAN VEG,CND,COND,COMM;59;84,91;1,72;1,58;9,78;3,130000114;0,5;2,02
06070;SOUP,BF,CND,CHUNKY,RTS;71;83,34;4,89;2,14;8,15;0,810000002;0,6;1,49
06071;SOUP,VEG BF,CND,COND,COMM;63;83,69;4,45;1,51;8,11;0,889999986;1,6;2,25
06072;SOUP,VEG W/BF BROTH,CND,COND,COMM;66;83,27;2,42;1,56;10,7;1,639999986;1,3;2,06
06073;SOUP,CRM OF ASPARAGUS,DEHYD,DRY MIX;366;4,8;13,75;10,8;55,75;;2,4;14,9
06074;SOUP,BEAN W/BACON,DEHYD,DRY MIX;370;4;19,38;7,6;57,72;;30,8;11,3
06075;SOUP,BF BROTH OR BOUILLON,PDR,DRY;238;3,27;15,97;8,89;23,65;16,70999908;0;48,22
06076;SOUP,BEEF BROTH,CUBED,DRY;170;3,3;17,3;4;16,1;14,51000023;0;59,3
06077;SOUP,BF NOODLE MIX,DEHYD,DRY FORM;330;4,97;17,93;6,39;48,64;5,099999905;2,7;22,06
06078;SOUP,CAULIFLOWER,DEHYD,DRY MIX;360;4,4;15,31;9,1;56,59;;;14,6
06079;SOUP,CRM OF CELERY,DEHYD,DRY;358;4,6;15;9,3;55,9;;2,7;15,2
06080;SOUP,CHICK BROTH OR BOUILLON,DEHYD,DRY;267;2,27;16,66;13,88;18,01;17,36000061;0;49,18
06081;SOUP,CHICK BROTH CUBES,DEHYD,DRY;198;2,5;14,6;4,7;23,5;0;0;54,7
06083;SOUP,CRM OF CHICK,DEHYD,DRY;436;3,75;7,25;21,68;54,34;;1,8;12,98
06085;SOUP,CHICK RICE MIX,DEHYD,DRY FORM;369;3,89;15,07;8,89;57,09;;1,8;15,05
06086;SOUP,CHICK VEG,DEHYD,DRY;346;4,66;18,98;5,59;55,04;;3;15,73
06087;SOUP,CLAM CHOWDER,MANHATTAN STYLE,DEHYD,DRY;345;4,1;10,94;8,2;57,46;;;19,3
06088;SOUP,CLAM CHOWDER,NEW ENGLAND,DEHYD,DRY;418;3,54;12,29;16,17;56,74;;5,4;11,26
06089;SOUP,CONSOMME W/GELATIN,DEHYD,DRY;137;0,6;17,19;0,1;16,3;;0;65,8
06090;SOUP,LEEK,DEHYDRATED,DRY;377;2,47;11,25;10,9;60,78;;3,6;14,6
06092;SOUP,MINESTRONE,DEHYD,DRY;358;4,8;20;7,8;53,6;;3,6;13,8
06093;SOUP,MUSHROOM,DEHYD,DRY;441;3,06;10,18;22,34;51,18;;3,5;13,2
06094;SOUP,ONION MIX,DEHYD,DRY FORM;303;3,79;7,48;5,09;60,32;19,65999985;6,6;23,31
06095;SOUP,OXTAIL,DEHYD,DRY;377;4,8;15;13,6;47,9;;0,9;18,7
06096;SOUP,PEA,GRN,MIX,DEHYD,DRY FORM;356;4,3;20,49;4,23;60,68;;10;10,31
06098;SOUP,TOMATO,DEHYD,DRY;360;3,92;8,63;8,35;68,3;;1,9;10,81
06099;SOUP,TOMATO VEG MIX,DEHYD,DRY FORM;325;3,73;11,73;5,09;59,9;3,769999981;3;19,54
06100;SOUP,VEG BF,DEHYD,DRY;344;4,64;18,91;7,2;51,74;;1,8;17,5
06101;SOUP,CRM OF VEG,DEHYD,DRY;446;2,9;8;24,1;52,1;17,51000023;3;12,9
06102;SAUCE,BEARNAISE,DEHYD,DRY;362;5,7;14,06;9;59,74;;;11,5
06103;SAUCE,CHS,DEHYD,DRY;448;4,09;22,69;25,44;33,66;25,12999916;1,1;14,12
06104;SAUCE,CURRY,DEHYD,DRY;427;4,2;9,38;23,1;50,62;;;12,7
06106;SAUCE,MUSHROOM,DEHYD,DRY;349;3,5;14,38;9,5;54,72;;;17,9
06107;SAUCE,SPAGHETTI,DEHYD,DRY;281;3,75;6;1;64,26;;3;25
06108;SAUCE,SPAGHETTI W/MUSHROOMS,DEHYD,DRY;304;3;10;9;49;;;29
06109;SAUCE,STROGANOFF,DEHYD,DRY;351;4,56;12,1;9,53;57,66;;1,1;16,15
06110;SAUCE,SWT&SOUR,DEHYD,DRY;389;0,57;1;0,1;96,13;;1,9;2,2
06111;SAUCE,TERIYAKI,DEHYD,DRY;283;1;9;2;60;;1,9;28
06112;SAUCE,TERIYAKI,RTS;84;67,69;5,93;0;15,95;13,06000042;0,1;10,43
06113;SAUCE,WHITE,DEHYD,DRY;463;1,5;10,94;26,7;50,56;;2,8;10,3
06114;GRAVY,AU JUS,CANNED;16;94,5;1,2;0,2;2,5;;0;1,6
06115;GRAVY,AU JUS,DRY;313;2,74;9,2;9,63;47,49;;;30,94
06116;GRAVY,BEEF,CANNED;53;87,48;3,75;2,36;4,81;0,209999993;0,4;1,6
06118;GRAVY,BROWN,DRY;367;5;10,74;9,61;59,38;;2;15,27
06119;GRAVY,CHICKEN,CANNED;79;85,34;1,93;5,71;5,42;0,779999971;0,4;1,6
06120;GRAVY,CHICKEN,DRY;381;3,85;11,27;9,73;62,09;;;13,06
06121;GRAVY,MUSHROOM,CANNED;50;89;1,26;2,71;5,47;;0,4;1,56
06122;GRAVY,MUSHROOM,DEHYD,DRY;328;3,34;10;4;64,66;3,25999999;4,8;18
06123;GRAVY,ONION,DEHYD,DRY;322;4,36;9;3;67,64;;6;16
06124;GRAVY,PORK,DRY;367;4,43;8,78;8,63;63,57;24,72999954;2,4;14,59
06125;GRAVY,TURKEY,CANNED;51;88,6;2,6;2,1;5,1;0,209999993;0,4;1,6
06126;GRAVY,TURKEY,DRY;367;4,67;10,42;7,19;65,12;;;12,61
06127;GRAVY,UNSPEC TYPE,DRY;344;4;13;8;58;;;17
06128;SOUP,CHICK NOODLE MIX,DEHYD,DRY FORM;377;4,94;15,42;6,51;62,32;1,899999976;3,2;10,8
06129;SAUCE,NESTLE,LJ MINOR TERIYAKI SAU,RTS;130;69,04;0,93;3,63;23,37;17,43000031;0;3,04
06130;SAUCE,NESTLE,LJ MINOR ALLPURP STIR FRY SAU,RTS;108;74,16;1,53;4,33;15,66;6,239999771;0;4,33
06131;SAUCE,NESTLE,LJ MINOR SWT N' SOUR GLAZE,RTS;158;57,89;0,46;0,07;38,93;26,02000046;0,1;2,65
06132;SAUCE,NESTLE,LJ MINOR SWT N' SOUR SAU,RTS;122;71,28;0,48;2,38;24,79;20,82999992;0,8;1,08
06136;SAUCE,MOLE POBLANO,PREP FROM RECIPE;164;71,54;3,54;10,95;12,94;;4,2;1,03
06137;SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND;571;4,12;7,48;41,58;41,7;;10,1;5,12
06139;SAUCE,LA VICTORIA,LA VICTORIA CHUNKY CHILI DIP,SALSA,CND;31;90,78;0,79;0,16;6,54;;0,5;1,72
06140;SAUCE,RIDG'S,BULLS-EYE ORIGINAL BARBECUE SAU;175;53,3;1,2;0,2;42,1;31,89999962;;3,2
06141;SAUCE,TEXAS BEST BARBECUE SAU ORIGINAL RECIPE;131;71,75;2,02;8,3;12,61;8,710000038;;5,32
06142;SAUCE,SOFRITO,PREP FROM RECIPE;237;59,66;12,8;18,2;5,46;;1,7;3,88
06143;USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND;48;87,1;1,2;0,9;8,7;4,699999809;;2,1
06147;SOUP,BF MUSHROOM,CND,COND,COMM;61;85,5;4,6;2,4;5,2;;0,2;2,3
06148;SAUCE,SOUR CRM,DEHYD,DRY;512;1,59;15,7;31,4;48,31;;;3
06149;SOUP,CHICK MUSHROOM,CND,COND,COMM;109;80,4;3,5;7,3;7,6;1,309999943;0,2;1,2
06150;SAUCE,BARBECUE SAUCE;75;80,9;1,8;1,8;12,8;3,920000076;1,2;2,7
06151;SAUCE,PLUM,READY-TO-SERVE;184;53,71;0,89;1,04;42,81;;0,7;1,56
06153;SAUCE,NESTLE,ORTEGA ENCHILADA SAUCE,RTS;50;88,53;1,45;1,98;6,71;0,579999983;1;1,33
06154;SAUCE,HOLLANDAISE,W/VEG OIL,DEHYD,DRY;374;5;13,75;9,3;62,45;;1,1;9,5
06155;SAUCE,HOLLANDAISE,W/BUTTER FAT,DEHYD,DRY;554;2,12;11;46,04;32,1;;1,1;8,75
06156;SAUCE,NESTLE,CHEF-MATE HOT DOG CHILI SAU,RTS;110;74,97;4,27;3,78;14,65;1,75999999;2,7;2,33
06157;SAUCE,NESTLE,ORTEGA PICANTE SAUCE,RTS;34;89,23;1,22;0,23;6,66;0,779999971;0;2,67
06158;SOUP,TOMATO BISQUE,CND,COND,COMM;96;75,32;1,76;1,95;18,47;;0,8;2,49
06159;SOUP,TOMATO,CND,COND,COMM;60;82,5;1,61;0,56;13,41;8,109999657;1,2;1,91
06164;SAUCE,RTS,SALSA;27;89,88;1,54;0,16;6,26;3,059999943;1,6;2,17
06165;SAUCE,HOMEMADE,WHITE,THIN;105;80,66;3,77;6,73;7,4;4,769999981;0,1;1,45
06166;SAUCE,HOMEMADE,WHITE,MED;147;74,89;3,84;10,63;9,17;4,360000134;0,2;1,47
06167;SAUCE,HOMEMADE,WHITE,THICK;186;69,1;3,99;13,83;11,61;3,960000038;0,3;1,47
06168;SAUCE,RTS,PEPPER OR HOT;11;89,98;0,51;0,37;1,75;1,25999999;0,3;7,39
06169;SAUCE,RTS,PEPPER,TABASCO;12;95,17;1,29;0,76;0,8;;0,6;1,98
06170;SOUP,STOCK,BEEF,HOME-PREPARED;13;95,89;1,97;0,09;1,2;0,540000021;0;0,7
06172;SOUP,STOCK,CHICK,HOME-PREPARED;36;92,15;2,52;1,2;3,53;1,580000043;0;0,63
06174;SOUP,STOCK,FISH,HOME-PREPARED;17;96,96;2,26;0,81;0;0;0;0,74
06175;SAUCE,HOISIN,RTS;220;44,23;3,31;3,39;44,08;27,26000023;2,8;4,98
06176;SAUCE,OYSTER,RTS;51;80;1,35;0,25;10,92;0;0,3;7,49
06177;SOUP,MINESTRONE,CND,RED NA,RTS;50;87,3;2;0,8;9;2,130000114;2,4;1,26
06178;USDA COMMODITY,SALSA;36;89,7;1,5;0,2;7;;1,4;1,6
06179;SAUCE,FISH,READY-TO-SERVE;35;71,07;5,06;0,01;3,64;3,640000105;0;20,22
06180;SOUP,SHARK FIN,REST-PREP;46;90,13;3,2;2;3,8;;0;0,87
06181;SAUCE,NESTLE,LJ MINOR ITALIAN SAU,RTS;98;75,9;1,68;1,9;18,49;5,599999905;1,4;2,04
06182;SOUP,CRM OF MUSHROOM,CND,COND,RED NA;52;87,26;1,21;1,69;8,1;2,130000114;0,6;1,69
06183;SOUP,CHICK BROTH,CND,LESS/REDUCED NA;7;97,32;1,36;0;0,38;0,219999999;0;0,89
06189;SAUCE,TERIYAKI,RTS,RED NA;84;69,7;5,93;0;15,9;14,07999992;0,1;8,4
06190;SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS;74;79,91;4,19;1,03;13,66;3,170000076;4;1,21
06191;SOUP,PROGRESSO HEALTHY CLASSICS TOMATO GARDEN,CND,RTS;40;88;1,42;0,4;8,88;2,140000105;1,6;1,3
06192;SOUP,PROGRESSO HEALTHY CLASSICS SPLIT PEA,CND,RTS;71;82,4;3,85;0,92;11,83;3,49000001;1,9;1
06193;SOUP,CAMPBELL'S HEALTHY REQUEST SPLIT PEA W/HAM,CND,RTS;68;82,8;4;0,7;11,4;0,129999995;1,9;1
06194;SOUP,CAMPBELL,HEALTHY REQUEST CHICK BROTH,CND,RTS;7;97,8;1;0,1;0,4;0;0,4;0,7
06195;SOUP,CAMPBELL'S HEALTHY REQUEST CRM OF CHICK,CND,RTS;58;85,8;1,8;1,3;9,5;0,75;0,4;1,5
06197;SOUP,PROGRESSO HEALTHY CLASSICS GARLIC&PASTA,CND,RTS;41;88;1,81;0,53;8,36;0,860000014;1,2;1,3
06198;SOUP,PROGRESSO HEALTHY CLASSICS BF VEG,CND,RTS;64;85;4,18;0,64;10,25;;2,4;0,98
06199;SOUP,PROGRESSO HEALTHY CLASSICS BF BARLEY,CND,RTS;59;85;4,7;0,8;8,3;;1,3;0,93
06200;SOUP,PROGRESSO HEALTHY CLASSICS CHICK NOODLE,CND,RTS;32;91,5;2,42;0,69;3,98;;0,5;0,8
06201;SOUP,CRM OF ASPARAGUS,CND,PREP W/EQ VOLUME MILK,COMM;65;86;2,55;3,3;6,61;;0,3;1,55
06202;SOUP,PROGRESSO HEALTHY CLASSICS CHICK RICE W/VEG,CND,RTS;37;91;2,62;0,62;5,23;;0,3;0,6
