ID;ALIMENTO;C3;C4;C5;C6;C7;C8;C9;C10
01068;CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE;136;77,27;1;9,97;11,38;;0;0,38
01069;CREAM SUBSTITUTE,POWDERED;546;2,21;4,79;35,48;54,88;54,88000107;0;2,64
01070;DESSERT TOPPING,POWDERED;577;1,47;4,9;39,92;52,54;52,54000092;0;1,17
01071;DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK;189;66,65;3,6;12,41;16,53;16,53000069;0;0,81
01072;DESSERT TOPPING,PRESSURIZED;264;60,37;0,98;22,3;16,07;16,06999969;0;0,28
01073;DESSERT TOPPING,SEMI SOLID,FRZ;318;50,21;1,25;25,31;23,05;23,04999924;0;0,18
01074;SOUR CRM,IMITN,CULTURED;208;71,15;2,4;19,52;6,63;6,630000114;0;0,3
01075;MILK SUBSTITUTES,FLUID W/HYDR VEG OILS;61;88,18;1,75;3,41;6,16;6,159999847;0;0,5
01076;MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL;61;88,18;1,75;3,41;6,16;;0;0,5
01077;MILK,WHL,3.25% MILKFAT;60;88,32;3,22;3,25;4,52;5,260000229;0;0,69
01078;MILK,PRODUCER,FLUID,3.7% MILKFAT;64;87,69;3,28;3,66;4,65;;0;0,72
01079;MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A;50;89,33;3,3;1,97;4,68;5,059999943;0;0,71
01080;MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A;51;88,86;3,48;1,92;4,97;;0;0,77
01081;MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A;56;87,71;3,95;1,98;5,49;5,260000229;0;0,87
01082;MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A;42;89,92;3,37;0,97;4,99;5,199999809;0;0,75
01083;MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A;43;89,81;3,48;0,97;4,97;;0;0,77
01084;MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A;48;88,74;3,93;1,17;5,52;;0;0,86
01085;MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM);34;90,84;3,37;0,08;4,96;5,090000153;0;0,75
01086;MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM);37;90,38;3,57;0,25;5,02;5,019999981;0;0,78
01087;MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM);41;89,36;3,96;0,25;5,56;;0;0,87
01088;MILK,BTTRMLK,FLUID,CULTURED,LOWFAT;40;90,13;3,31;0,88;4,79;4,789999962;0;0,89
01089;MILK,LOW SODIUM,FLUID;61;88,2;3,1;3,46;4,46;4,460000038;0;0,78
01090;MILK,DRY,WHOLE;496;2,47;26,32;26,71;38,42;38,41999817;0;6,08
01091;MILK,DRY,NONFAT,REG,WO/ VIT A;362;3,16;36,16;0,77;51,98;51,97999954;0;7,93
01092;MILK,DRY,NONFAT,INST,W/ VIT A;358;3,96;35,1;0,72;52,19;52,18999863;0;8,03
01093;MILK,DRY,NONFAT,CA RED;354;4,9;35,5;0,2;51,8;;0;7,6
01094;MILK,BUTTERMILK,DRIED;387;2,97;34,3;5,78;49;49;0;7,95
01095;MILK,CND,COND,SWTND;321;27,16;7,91;8,7;54,4;54,40000153;0;1,83
01096;MILK,CND,EVAP,WO/ VIT A;134;74,04;6,81;7,56;10,04;10,03999996;0;1,55
01097;MILK,CND,EVAP,NONFAT;78;79,4;7,55;0,2;11,35;11,35000038;0;1,5
01102;MILK,CHOC,FLUID,COMM,WHL;83;82,3;3,17;3,39;10,34;9,539999962;0,8;0,8
01103;MILK,CHOC,FLUID,COMM,RED FAT;76;82,17;2,99;1,9;12,13;9,550000191;0,7;0,81
01104;MILK,CHOC,FLUID,COMM,LOWFAT;63;84,5;3,24;1;10,44;9,93999958;0,5;0,82
01105;MILK,CHOC BEV,HOT COCOA,HOMEMADE;77;82,57;3,52;2,33;10,63;9,670000076;1;0,65
01106;MILK,GOAT,FLUID;69;87,03;3,56;4,14;4,45;4,449999809;0;0,82
01107;MILK,HUMAN,MATURE,FLUID;70;87,5;1,03;4,38;6,89;6,889999866;0;0,2
01108;MILK,INDIAN BUFFALO,FLUID;97;83,39;3,75;6,89;5,18;;0;0,79
01109;MILK,SHEEP,FLUID;108;80,7;5,98;7;5,36;;0;0,96
01110;MILK SHAKES,THICK CHOC;119;72,2;3,05;2,7;21,15;20,85000038;0,3;0,9
01111;MILK SHAKES,THICK VANILLA;112;74,45;3,86;3,03;17,75;17,75;0;0,91
01112;WHEY,ACID,FLUID;24;93,42;0,76;0,09;5,12;5,119999886;0;0,61
01113;WHEY,ACID,DRIED;339;3,51;11,73;0,54;73,45;73,44999695;0;10,77
01114;WHEY,SWEET,FLUID;27;93,12;0,85;0,36;5,14;5,139999866;0;0,53
01115;WHEY,SWEET,DRIED;353;3,19;12,93;1,07;74,46;74,45999908;0;8,35
01116;YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ;61;87,9;3,47;3,25;4,66;4,659999847;0;0,72
01117;YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ;63;85,07;5,25;1,55;7,04;7,039999962;0;1,09
01118;YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ;56;85,23;5,73;0,18;7,68;7,679999828;0;1,18
01119;YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ;85;79;4,93;1,25;13,8;13,80000019;0;1,02
01120;YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ;99;75,3;3,98;1,15;18,64;18,63999939;0;0,93
01121;YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ;102;74,48;4,37;1,08;19,05;19,04999924;0;1,02
01122;YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ;105;74,1;4,86;1,41;18,6;;0;1,03
01123;EGG,WHOLE,RAW,FRESH;147;75,84;12,58;9,94;0,77;0,769999981;0;0,86
01124;EGG,WHITE,RAW,FRSH;52;87,57;10,9;0,17;0,73;0,709999979;0;0,63
